path,label
D:\\zainab\\forgery-detector\\data\\ela_cache\0_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\1_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\2_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\3_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\4_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\5_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\6_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\7_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\8_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\9_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\10_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\11_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\12_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\13_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\14_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\15_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\16_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\17_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\18_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\19_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\20_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\21_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\22_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\23_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\24_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\25_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\26_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\27_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\28_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\29_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\30_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\31_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\32_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\33_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\34_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\35_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\36_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\37_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\38_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\39_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\40_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\41_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\42_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\43_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\44_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\45_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\46_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\47_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\48_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\49_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\50_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\51_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\52_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\53_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\54_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\55_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\56_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\57_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\58_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\59_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\60_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\61_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\62_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\63_0.png,0
D:\\zainab\\forgery-detector\\data\\ela_cache\64_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\65_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\66_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\67_1.png,1
D:\\zainab\\forgery-detector\\data\\ela_cache\68_1.png,1
